здесь	zʲ dʲ e sʲ
вкусом	f k u s̪ ə m
вкусом	f k ʊ s̪ ə m
влагала	v ɫ ɐ ɡ a ɫ ə
вкусу	f k u s̪ ʊ
вкусу	f k ʊ s̪ ʊ
влагой	v ɫ a ɡ ə j
влаги	v ɫ a ɟ ɪ
влаге	v ɫ a ɟ e
влагою	v ɫ a ɡ ə j ʊ
влагу	v ɫ a ɡ ʊ
владел	v ɫ ɐ dʲ e ɫ
владеет	v ɫ ɐ dʲ e j ɪ t̪
владела	v ɫ ɐ dʲ e ɫ ə
владелец	v ɫ ɐ dʲ e ʎ ɪ t̪s̪
владельца	v ɫ ɐ dʲ e ʎ t̪s̪ ə
владели	v ɫ ɐ dʲ e ʎ ɪ
владельцам	v ɫ ɐ dʲ e ʎ t̪s̪ ə m
владельцы	v ɫ ɐ dʲ e ʎ t̪s̪ ɨ
владельцу	v ɫ ɐ dʲ e ʎ t̪s̪ ʊ
владения	v ɫ ɐ dʲ e ɲ ɪ j ə
владею	v ɫ ɐ dʲ e j ʊ
владеют	v ɫ ɐ dʲ e j ʊ t̪
владеть	v ɫ ɐ dʲ e tʲ
владея	v ɫ ɐ dʲ e j ə
владивосток	v ɫ ə dʲ ɪ v ɐ s̪ t̪ o k
владимир	v ɫ ɐ dʲ i mʲ ɪ r
владимира	v ɫ ɐ dʲ i mʲ ɪ r a
владимировна	v ɫ ɐ dʲ i mʲ ɪ r ɐ v n̪ a
владимировна	v ɫ ɐ dʲ i mʲ ɪ r ə v n̪ ə
владимиром	v ɫ ɐ dʲ i mʲ ɪ r ə m
владыка	v ɫ ɐ d̪ ɨ k ə
владыко	v ɫ ɐ d̪ ɨ k ə
владык	v ɫ ɐ d̪ ɨ k
владимирский	v ɫ ɐ dʲ i mʲ ɪ r s̪ c ɪ j
владычества	v ɫ ɐ d̪ ɨ tɕ ɪ s̪ t̪ v ə
владычица	v ɫ ɐ d̪ ɨ tɕ ɪ t̪s̪ ə
влажна	v ɫ ɐ ʐ n̪ a
влажен	v ɫ a ʐ ɨ n̪
влажная	v ɫ a ʐ n̪ ə j ə
влажной	v ɫ a ʐ n̪ o j
влажность	v ɫ a ʐ n̪ ə sʲ tʲ
влажны	v ɫ a ʐ n̪ ɨ
влажны	v ɫ ɐ ʐ n̪ ɨ
влажную	v ɫ a ʐ n̪ ʊ j ʊ
влажную	v ɫ ɐ ʐ n̪ ʊ j ʊ
влажные	v ɫ a ʐ n̪ ɨ j e
влажными	v ɫ a ʐ n̪ ɨ mʲ ɪ
влажный	v ɫ a ʐ n̪ ɨ j
влажным	v ɫ a ʐ n̪ ɨ m
властвовал	v ɫ a s̪ t̪ v ə v ə ɫ
властвовала	v ɫ a s̪ t̪ v ə v ə ɫ ə
властелином	v ɫ ə sʲ tʲ ɪ ʎ i n̪ ə m
властвует	v ɫ a s̪ t̪ v ʊ j ɪ t̪
властей	v ɫ a sʲ tʲ ɪ j
властей	v ɫ ɐ sʲ tʲ e j
властен	v ɫ a sʲ tʲ ɪ n̪
властитель	v ɫ ɐ sʲ tʲ i tʲ ɪ ʎ
властно	v ɫ a s̪ n̪ ə
власти	v ɫ a sʲ tʲ ɪ
власти	v ɫ ɐ sʲ tʲ i
власти	v ɫ ə sʲ tʲ ɪ
властного	v ɫ a s̪ n̪ ə v ə
властного	v ɫ ɐ s̪ n̪ o v ə
властного	v ɫ ɐ s̪ n̪ ə v ə
власть	v ɫ a sʲ tʲ
властны	v ɫ a s̪ n̪ ɨ
властью	v ɫ a sʲ tʲ j ʊ
влезал	v ʎ ɪ z̪ a ɫ
влево	v ʎ e v ə
влез	v ʎ e s̪
влезать	v ʎ ɪ z̪ a tʲ
влезешь	v ʎ e zʲ ɪ ʂ
влезет	v ʎ e zʲ ɪ t̪
влезая	v ʎ ɪ z̪ a j ə
влезли	v ʎ e zʲ ʎ ɪ
влезть	v ʎ e sʲ tʲ
влезут	v ʎ e z̪ ʊ t̪
влекли	v ʎ ɪ c ʎ i
влеклись	v ʎ ɪ c ʎ i sʲ
влекло	v ʎ ɪ k ɫ o
влепил	v ʎ ɪ pʲ i ɫ
влекомые	v ʎ ɪ k o m ɨ j e
влетела	v ʎ ɪ tʲ e ɫ ə
влетело	v ʎ ɪ tʲ e ɫ ə
влетели	v ʎ ɪ tʲ e ʎ ɪ
влечение	v ʎ ɪ tɕ e ɲ ɪ j e
влетит	v ʎ ɪ tʲ i t̪
влететь	v ʎ ɪ tʲ e tʲ
влечению	v ʎ ɪ tɕ e ɲ ɪ j ʊ
влечения	v ʎ ɪ tɕ e ɲ ɪ j ə
влеченье	v ʎ ɪ tɕ e ɲ j e
влечет	v ʎ ɪ tɕ ɪ t̪
влечешь	v ʎ ɪ tɕ ɪ ʂ
вливать	v ʎ ɪ v a tʲ
вливались	v ʎ ɪ v a ʎ ɪ sʲ
вливалась	v ʎ ɪ v a ɫ ə sʲ
влили	v ʎ i ʎ ɪ
влияние	v ʎ ɪ j æ ɲ ɪ j e
влиянием	v ʎ ɪ j æ ɲ ɪ j ɪ m
влиться	v ʎ i t̪ s̪ː ə
влияния	v ʎ ɪ j æ ɲ ɪ j ə
влиянии	v ʎ ɪ j æ ɲ ɪ ɪ
влиятельного	v ʎ ɪ j æ tʲ ɪ ʎ n̪ ə v ə
влиятельные	v ʎ ɪ j æ tʲ ɪ ʎ n̪ ɨ j e
вложен	v ɫ o ʐ ɨ n̪
вложил	v ɫ ɐ ʐ ɨ ɫ
вложено	v ɫ o ʐ ɨ n̪ ə
вложила	v ɫ ɐ ʐ ɨ ɫ ə
влюбилась	v ʎ ʉ bʲ i ɫ ə sʲ
влюбились	v ʎ ʉ bʲ i ʎ ɪ sʲ
влюбил	v ʎ ʉ bʲ i ɫ
влюбился	v ʎ ʉ bʲ i ɫ sʲ ə
влюбись	v ʎ ʉ bʲ i sʲ
влюбитесь	v ʎ ʉ bʲ i tʲ ɪ sʲ
влюбитесь	v ʎ ʉ bʲ ɪ tʲ ɪ sʲ
влюбится	v ʎ ʉ bʲ ɪ t̪ s̪ ə
влюбиться	v ʎ ʉ bʲ i t̪ s̪ː ə
влюбить	v ʎ ʉ bʲ i tʲ
влюблен	v ʎ ʊ b ʎ ɪ n̪
влюблена	v ʎ ʊ b ʎ ɪ n̪ a
влюбленного	v ʎ ʊ b ʎ ɪ n̪ː ə v ə
влюбленный	v ʎ ʊ b ʎ ɪ n̪ː ɨ j
влюбленной	v ʎ ʊ b ʎ ɪ n̪ː ə j
влюбленною	v ʎ ʊ b ʎ ɪ n̪ː ə j ʊ
влюбленным	v ʎ ʊ b ʎ ɪ n̪ː ɨ m
влюбленными	v ʎ ʊ b ʎ ɪ n̪ː ɨ mʲ ɪ
влюбленных	v ʎ ʊ b ʎ ɪ n̪ː ɨ x
влюблены	v ʎ ʊ b ʎ ɪ n̪ ɨ
влюблюсь	v ʎ ʊ b ʎ ʉ sʲ
влюбляются	v ʎ ʊ b ʎ æ j ʊ t̪ s̪ ə
влюбляется	v ʎ ʊ b ʎ æ j ɪ t̪ s̪ ə
влюблённые	v ʎ ʊ b ʎ ɵ n̪ː ɨ j e
влюблённых	v ʎ ʊ b ʎ ɵ n̪ː ɨ x
влюблённое	v ʎ ʊ b ʎ ɵ n̪ː ə j ə
влюблёнными	v ʎ ʊ b ʎ ɵ n̪ː ɨ mʲ ɪ
вменит	v mʲ ɪ ɲ i t̪
вляпаться	v ʎ a p ə t̪ s̪ ə
вместила	v mʲ ɪ sʲ tʲ i ɫ ə
вменяешь	v mʲ ɪ ɲ æ j ɪ ʂ
вместимость	v mʲ ɪ sʲ tʲ i m ə sʲ tʲ
вместе	v mʲ e sʲ tʲ e
вмешалась	v mʲ ɪ ʂ a ɫ ə sʲ
вместительная	v mʲ ɪ sʲ tʲ i tʲ ɪ ʎ n̪ ə j ə
вместо	v mʲ e s̪ t̪ ə
вмещала	v mʲ ɪ ɕː a ɫ ə
вмешался	v mʲ ɪ ʂ a ɫ sʲ ə
вмешательство	v mʲ ɪ ʂ a tʲ ɪ ʎ s̪ t̪ v ə
вмиг	v mʲ i k
вмёрзшей	v mʲ ɵ r ʂː ɛ j
внаем	v n̪ a j ɪ m
внаем	v n̪ ɐ j e m
внаем	v n̪ ɐ j ɪ m
внаем	v n̪ ə j ɪ m
вне	v ɲ e
вначале	v n̪ ɐ tɕ æ ʎ e
внаймы	v n̪ ɐ j m ɨ
внезапно	v ɲ ɪ z̪ a p n̪ ə
внезапного	v ɲ ɪ z̪ a p n̪ ə v ə
внезапной	v ɲ ɪ z̪ a p n̪ o j
внезапную	v ɲ ɪ z̪ a p n̪ u j ʊ
внезапному	v ɲ ɪ z̪ a p n̪ ə m ʊ
внезапное	v ɲ ɪ z̪ a p n̪ ə j ə
внезапные	v ɲ ɪ z̪ a p n̪ ɨ j e
внезапным	v ɲ ɪ z̪ a p n̪ ɨ m
внезапными	v ɲ ɪ z̪ a p n̪ ɨ mʲ ɪ
внезапных	v ɲ ɪ z̪ a p n̪ ɨ x
внемли	v ɲ e m ʎ ɪ
внемли	v ɲ ɪ m ʎ i
внесенные	v ɲ ɪ sʲ ɪ n̪ː ɨ j e
внемлющая	v ɲ e m ʎ ʉ ɕː ɪ j ə
внес	v ɲ e s̪
внес	v ɲ ɪ s̪
внесла	v ɲ ɪ s̪ ɫ a
внеси	v ɲ ɪ sʲ i
внести	v ɲ ɪ sʲ tʲ i
внесли	v ɲ ɪ sʲ ʎ i
внешней	v ɲ e ʂ ɲ e j
внешней	v ɲ e ʂ ɲ ɪ j
внешние	v ɲ e ʂ ɲ ɪ j e
внешне	v ɲ e ʂ ɲ e
внешних	v ɲ e ʂ ɲ ɪ x
внешности	v ɲ e ʂ n̪ ə sʲ tʲ ɪ
внешнюю	v ɲ e ʂ ɲ ʉ j ʊ
внешний	v ɲ e ʂ ɲ ɪ j
внешностью	v ɲ e ʂ n̪ ə sʲ tʲ j ʊ
вниз	v ɲ i s̪
внизу	v ɲ ɪ z̪ u
внешняя	v ɲ e ʂ ɲ ɪ j ə
вникая	v ɲ ɪ k a j ə
вникал	v ɲ ɪ k a ɫ
вникни	v ɲ i c ɲ ɪ
вникнул	v ɲ i k n̪ ʊ ɫ
вникнуть	v ɲ i k n̪ ʊ tʲ
внимаешь	v ɲ ɪ m a j ɪ ʂ
внимал	v ɲ ɪ m a ɫ
внимала	v ɲ ɪ m a ɫ ə
вниманием	v ɲ ɪ m a ɲ ɪ j ɪ m
внимание	v ɲ ɪ m a ɲ ɪ j e
внимании	v ɲ ɪ m a ɲ ɪ ɪ
внимания	v ɲ ɪ m a ɲ ɪ j ə
внимателен	v ɲ ɪ m a tʲ ɪ ʎ ɪ n̪
вниманья	v ɲ ɪ m a ɲ j ə
внимательнее	v ɲ ɪ m a tʲ ɪ ʎ ɲ ɪ j e
внимательно	v ɲ ɪ m a tʲ ɪ ʎ n̪ ə
внимательности	v ɲ ɪ m a tʲ ɪ ʎ n̪ ə sʲ tʲ ɪ
внимательной	v ɲ ɪ m a tʲ ɪ ʎ n̪ ə j
внимательность	v ɲ ɪ m a tʲ ɪ ʎ n̪ ə sʲ tʲ
внимательный	v ɲ ɪ m a tʲ ɪ ʎ n̪ ɨ j
внимательными	v ɲ ɪ m a tʲ ɪ ʎ n̪ ɨ mʲ ɪ
вносит	v n̪ o sʲ ɪ t̪
вносят	v n̪ o sʲ ə t̪
вновь	v n̪ o fʲ
внося	v n̪ ɐ sʲ a
внук	v n̪ u k
внуки	v n̪ u c ɪ
внука	v n̪ u k ə
внутренне	v n̪ u t̪ rʲ ɪ ɲ e
внутренне	v n̪ u t̪ rʲ ɪ ɲː e
внуков	v n̪ u k ə f
внутреннего	v n̪ u t̪ rʲ ɪ ɲː ɪ v ə
внутреннее	v n̪ u t̪ rʲ ɪ ɲː ɪ j e
внутренней	v n̪ u t̪ rʲ ɪ ɲː e j
внутренней	v n̪ u t̪ rʲ ɪ ɲː ɪ j
внутреннею	v n̪ u t̪ rʲ ɪ ɲː ɪ j ʊ
внутреннем	v n̪ u t̪ rʲ ɪ ɲː e m
внутреннем	v n̪ u t̪ rʲ ɪ ɲː ɪ m
внутренним	v n̪ u t̪ rʲ ɪ ɲː ɪ m
внутренний	v n̪ u t̪ rʲ ɪ ɲ ɪ j
внутренний	v n̪ u t̪ rʲ ɪ ɲː ɪ j
внутренних	v n̪ u t̪ rʲ ɪ ɲː ɪ x
внутренность	v n̪ u t̪ rʲ ɪ n̪ː ə sʲ tʲ
внутренности	v n̪ u t̪ rʲ ɪ n̪ː ə sʲ tʲ ɪ
внутренняя	v n̪ u t̪ rʲ ɪ ɲ æ j ə
внутреннюю	v n̪ u t̪ rʲ ɪ ɲː ʉ j ʊ
внутривенно	v n̪ ʊ t̪ rʲ ɪ vʲ e n̪ː ə
внутрь	v n̪ u t̪ rʲ
внучата	v n̪ ʊ tɕ a t̪ ə
внутри	v n̪ ʊ t̪ rʲ i
внушали	v n̪ ʊ ʂ a ʎ ɪ
внушало	v n̪ ʊ ʂ a ɫ ə
внушать	v n̪ ʊ ʂ a tʲ
внушенным	v n̪ ʊ ʂ ɨ n̪ː ɨ m
внушению	v n̪ ʊ ʂ ɛ ɲ ɪ j ʊ
внушил	v n̪ ʊ ʂ ɨ ɫ
внушительно	v n̪ ʊ ʂ ɨ tʲ ɪ ʎ n̪ ə
внушить	v n̪ ʊ ʂ ɨ tʲ
внушителен	v n̪ ʊ ʂ ɨ tʲ ɪ ʎ ɪ n̪
внятно	v ɲ a t̪ n̪ ə
вово	v o v ə
вово	v ə v ə
во	v o
во	v ɐ
во	v ə
вовторых	v ɐ f t̪ o r ɨ x
вона	v o n̪ ə
воосемь	v ɐ o sʲ ɪ mʲ
воосемь	v ɐ ɐ sʲ ɪ mʲ
воосемь	v ə sʲ ɪ mʲ
воблу	v o b ɫ ʊ
воблы	v o b ɫ ɨ
вовремя	v o v rʲ ɪ mʲ ə
вопервых	v ɐ pʲ e r v ɨ x
вовсе	v o f sʲ e
вовсю	v ɐ f sʲ u
вогнать	v ɐ ɡ n̪ a tʲ
вода	v o d̪ ə
вода	v ɐ d̪ a
вода	v ə d̪ ə
вод	v o t̪
водам	v o d̪ ə m
водам	v ɐ d̪ a m
водворилось	v ə d̪ v ɐ rʲ i ɫ ə sʲ
водворить	v ə d̪ v ɐ rʲ i tʲ
воде	v o dʲ e
воде	v ə dʲ e
водворялся	v ə d̪ v ɐ rʲ a ɫ sʲ ə
водворят	v ə d̪ v ɐ rʲ a t̪
водворят	v ə d̪ v ə rʲ ə t̪
водил	v ɐ dʲ i ɫ
водили	v ɐ dʲ i ʎ ɪ
водились	v ɐ dʲ i ʎ ɪ sʲ
водила	v ɐ dʲ i ɫ ə
водилось	v ɐ dʲ i ɫ ə sʲ
водит	v o dʲ ɪ t̪
водитель	v ɐ dʲ i tʲ ɪ ʎ
водителем	v ɐ dʲ i tʲ ɪ ʎ ɪ m
водителю	v ɐ dʲ i tʲ ɪ ʎ ʊ
водителя	v ɐ dʲ i tʲ ɪ ʎ ə
водится	v o dʲ ɪ t̪ s̪ ə
водить	v ɐ dʲ i tʲ
водиться	v ɐ dʲ i t̪ s̪ː ə
водка	v o t̪ k ə
водицы	v ɐ dʲ i t̪s̪ ɨ
водки	v o t̪ c ɪ
водкой	v o t̪ k ə j
водке	v o t̪ c e
водоемы	v ə d̪ ɐ j e m ɨ
водку	v o t̪ k ʊ
водо	v ə d̪ ə
водой	v o d̪ ə j
водой	v ɐ d̪ o j
водолаз	v ə d̪ ɐ ɫ a s̪
водолазного	v ə d̪ ɐ ɫ a z̪ n̪ ə v ə
водолазом	v ə d̪ ɐ ɫ a z̪ ə m
водолаза	v ə d̪ ɐ ɫ a z̪ ə
водолазный	v ə d̪ ɐ ɫ a z̪ n̪ ɨ j
водопады	v ə d̪ ɐ p a d̪ ɨ
водолазу	v ə d̪ ɐ ɫ a z̪ ʊ
водолазы	v ə d̪ ɐ ɫ a z̪ ɨ
водопойного	v ə d̪ ɐ p o j n̪ ə v ə
водосточную	v ə d̪ ɐ s̪ t̪ o tɕ n̪ ʊ j ʊ
водою	v o d̪ ə j ʊ
воды	v o d̪ ɨ
воды	v ə d̪ ɨ
воду	v o d̪ ʊ
воду	v ə d̪ ʊ
водрузим	v ə d̪ r ʊ zʲ i m
водя	v ɐ dʲ a
водяной	v ə dʲ ɪ n̪ o j
водяная	v ə dʲ ɪ n̪ ə j ə
водянки	v ɐ dʲ a n̪ c ɪ
водянки	v ə dʲ ɪ n̪ c i
водянки	v ə dʲ ɪ n̪ c ɪ
водяные	v ə dʲ ɪ n̪ ɨ j e
водяную	v ə dʲ ɪ n̪ u j ʊ
водяную	v ə dʲ ɪ n̪ ʊ j ʊ
водяных	v ə dʲ ɪ n̪ ɨ x
водят	v o dʲ ə t̪
водят	v ɐ dʲ a t̪
воевала	v ə j ɪ v a ɫ ə
воевать	v ə j ɪ v a tʲ
воевали	v ə j ɪ v a ʎ ɪ
военачальники	v ə j ɪ n̪ ɐ tɕ æ ʎ ɲ ɪ c ɪ
военачальников	v ə j ɪ n̪ ɐ tɕ æ ʎ ɲ ɪ k ə f
военкомат	v ə j ɪ n̪ k ɐ m a t̪
военная	v ɐ j e n̪ː ə j ə
военкомата	v ə j ɪ n̪ k ɐ m a t̪ ə
военкомате	v ə j ɪ n̪ k ɐ m a tʲ e
военноконтрольный	v ɐ j e n̪ː ə k ɐ n̪ t̪ r o ʎ n̪ ɨ j
военнореволюционного	v ɐ j e n̪ː ɐ ə rʲ ɪ v ə ʎ ʊ t̪s̪ ɨ o n̪ː ə v ə
военнореволюционного	v ɐ j e n̪ː ɐ ə rʲː ɪ v ə ʎ ʊ t̪s̪ ɨ o n̪ː ə v ə
военноморского	v ɐ j e n̪ː ə m o r s̪ k ə v ə
военное	v ɐ j e n̪ː ə j ə
военного	v ɐ j e n̪ː ə v ə
военнореволюционный	v ɐ j e n̪ː ɐ ə rʲ ɪ v ə ʎ ʊ t̪s̪ ɨ o n̪ː ɨ j
военнореволюционный	v ɐ j e n̪ː ɐ ə rʲː ɪ v ə ʎ ʊ t̪s̪ ɨ o n̪ː ɨ j
военной	v ɐ j e n̪ː ə j
военном	v ɐ j e n̪ː ə m
военному	v ɐ j e n̪ː ə m ʊ
военнопленные	v ɐ j e n̪ː ɐ p ʎ e n̪ː ɨ j e
военнопленные	v ə j ɪ n̪ː ɐ p ʎ e n̪ː ɨ j e
военнопленными	v ɐ j e n̪ː ɐ p ʎ e n̪ː ɨ mʲ ɪ
военнопленными	v ə j ɪ n̪ː ɐ p ʎ e n̪ː ɨ mʲ ɪ
военную	v ɐ j e n̪ː ʊ j ʊ
военнослужащие	v ɐ j e n̪ː ɐ s̪ ɫ u ʐ ə ɕː ɪ j e
военнослужащие	v ə j ɪ n̪ː ɐ s̪ ɫ u ʐ ə ɕː ɪ j e
военные	v ɐ j e n̪ː ɨ j e
военный	v ɐ j e n̪ː ɨ j
военных	v ɐ j e n̪ː ɨ x
военным	v ɐ j e n̪ː ɨ m
военрук	v ə j ɪ n̪ r u k
воет	v o j ɪ t̪
вожаков	v ə ʐ ɐ k o f
вожаку	v ə ʐ ɐ k u
вожделенной	v ə ʐ dʲ ɪ ʎ e n̪ː ə j
вождю	v ɐ ʐ dʲ u
вождь	v o ɕ
вождь	v o ʂ tʲ
вождя	v ɐ ʐ dʲ a
воз	v o s̪
возах	v o z̪ ə x
возах	v ɐ z̪ a x
возах	v ə z̪ ə x
вожжи	v o ʐː ɨ
вожжи	v o ʑː ɪ
вожжи	v ɐ ʐː ɨ
вожжи	v ɐ ʑː i
возбранял	v ə z̪ b r ɐ ɲ a ɫ
возблагодарите	v ə z̪ b ɫ ə ɡ ə d̪ ɐ rʲ i tʲ e
возблагодарили	v ə z̪ b ɫ ə ɡ ə d̪ ɐ rʲ i ʎ ɪ
возбудил	v ə z̪ b ʊ dʲ i ɫ
возбудило	v ə z̪ b ʊ dʲ i ɫ ə
возбудить	v ə z̪ b ʊ dʲ i tʲ
возбуждает	v ə z̪ b ʊ ʐ d̪ a j ɪ t̪
возбуждающе	v ə z̪ b ʊ ʐ d̪ a j ʉ ɕː e
возбуждают	v ə z̪ b ʊ ʐ d̪ a j ʊ t̪
возбуждая	v ə z̪ b ʊ ʐ d̪ a j ə
возбуждение	v ə z̪ b ʊ ʐ dʲ e ɲ ɪ j e
возбуждением	v ə z̪ b ʊ ʐ dʲ e ɲ ɪ j ɪ m
возбуждения	v ə z̪ b ʊ ʐ dʲ e ɲ ɪ j ə
возбужденнонетерпеливым	v ə z̪ b ʊ ʐ dʲ e n̪ː o ɲ ɪ tʲ ɪ r pʲ ɪ ʎ i v ɨ m
возбужденнонетерпеливым	v ə z̪ b ʊ ʐ dʲ e n̪ː ə j ə ɲ ɪ tʲ ɪ r pʲ ɪ ʎ i v ɨ m
возбужденнонетерпеливым	v ə z̪ b ʊ ʐ dʲ e n̪ː ə ɲ ɪ tʲ ɪ r pʲ ɪ ʎ i v ɨ m
возбужденнонетерпеливым	v ə z̪ b ʊ ʐ dʲ ɪ n̪ː o ɲ ɪ tʲ ɪ r pʲ ɪ ʎ i v ɨ m
возбужденнонетерпеливым	v ə z̪ b ʊ ʐ dʲ ɪ n̪ː ə ɲ ɪ tʲ ɪ r pʲ ɪ ʎ i v ɨ m
возбужденном	v ə z̪ b ʊ ʐ dʲ e n̪ː ə m
возбужденный	v ə z̪ b ʊ ʐ dʲ ɪ n̪ː ɨ j
возбужденными	v ə z̪ b ʊ ʐ dʲ ɪ n̪ː ɨ mʲ ɪ
возбуждённо	v ə z̪ b ʊ ʐ dʲ ɵ n̪ː ə
возбуждены	v ə z̪ b ʊ ʐ dʲ ɪ n̪ ɨ
возведен	v ə z̪ vʲ ɪ dʲ ɪ n̪
возвела	v ə z̪ vʲ ɪ ɫ a
возвели	v ə z̪ vʲ ɪ ʎ i
возведении	v ə z̪ vʲ ɪ dʲ e ɲ ɪ ɪ
возвернулся	v ə z̪ vʲ ɪ r n̪ u ɫ sʲ ə
возвестили	v ə z̪ vʲ ɪ sʲ tʲ i ʎ ɪ
возвещая	v ə z̪ vʲ ɪ ɕː æ j ə
возводящей	v ə z̪ v ɐ dʲ æ ɕː ɪ j
возвратил	v ə z̪ v r ɐ tʲ i ɫ
возвратила	v ə z̪ v r ɐ tʲ i ɫ ə
возврата	v ɐ z̪ v r a t̪ ə
возвратился	v ə z̪ v r ɐ tʲ i ɫ sʲ ə
возвратились	v ə z̪ v r ɐ tʲ i ʎ ɪ sʲ
возвратилась	v ə z̪ v r ɐ tʲ i ɫ ə sʲ
возвратись	v ə z̪ v r ɐ tʲ i sʲ
возвратит	v ə z̪ v r ɐ tʲ i t̪
возвратится	v ə z̪ v r ɐ tʲ i t̪ s̪ː ə
возвратить	v ə z̪ v r ɐ tʲ i tʲ
возвратиться	v ə z̪ v r ɐ tʲ i t̪ s̪ː ə
возвратясь	v ə z̪ v r ɐ tʲ æ sʲ
возвратишь	v ə z̪ v r ɐ tʲ i ʂ
возвращавшиеся	v ə z̪ v r ɐ ɕː a f ʂ ɨ j ɪ sʲ ə
возвратятся	v ə z̪ v r ɐ tʲ a t̪ s̪ː ə
возвращавшийся	v ə z̪ v r ɐ ɕː a f ʂ ɨ j sʲ ə
возвращается	v ə z̪ v r ɐ ɕː æ j ɪ t̪ s̪ ə
возвращаешься	v ə z̪ v r ɐ ɕː æ j ɪ ʂ sʲ ə
возвращаемся	v ə z̪ v r ɐ ɕː æ j ɪ m sʲ ə
возвращайтесь	v ə z̪ v r ɐ ɕː æ j tʲ ɪ sʲ
возвращалась	v ə z̪ v r ɐ ɕː a ɫ ə sʲ
возвращайся	v ə z̪ v r ɐ ɕː æ j sʲ ə
возвращались	v ə z̪ v r ɐ ɕː æ ʎ ɪ sʲ
возвращался	v ə z̪ v r ɐ ɕː a ɫ sʲ ə
возвращалось	v ə z̪ v r ɐ ɕː a ɫ ə sʲ
возвращаться	v ə z̪ v r ɐ ɕː a t̪ s̪ː ə
возвращаясь	v ə z̪ v r ɐ ɕː æ j ɪ sʲ
возвращаюсь	v ə z̪ v r ɐ ɕː æ j ʉ sʲ
возвращаются	v ə z̪ v r ɐ ɕː æ j ʊ t̪ s̪ ə
возвращена	v ə z̪ v r ɐ ɕː e n̪ ə
возвращение	v ə z̪ v r ɐ ɕː e ɲ ɪ j e
возвращением	v ə z̪ v r ɐ ɕː e ɲ ɪ j ɪ m
возвращении	v ə z̪ v r ɐ ɕː e ɲ ɪ ɪ
возвращения	v ə z̪ v r ɐ ɕː e ɲ ɪ j ə
возвращению	v ə z̪ v r ɐ ɕː e ɲ ɪ j ʊ
возвысился	v ɐ z̪ v ɨ sʲ ɪ ɫ sʲ ə
возвращусь	v ə z̪ v r ɐ ɕː ʉ sʲ
возвращу	v ə z̪ v r ɐ ɕː u
возвышалось	v ə z̪ v ɨ ʂ a ɫ ə sʲ
возвышался	v ə z̪ v ɨ ʂ a ɫ sʲ ə
возвышались	v ə z̪ v ɨ ʂ a ʎ ɪ sʲ
возвышать	v ə z̪ v ɨ ʂ a tʲ
возвышая	v ə z̪ v ɨ ʂ a j ə
возвышаются	v ə z̪ v ɨ ʂ a j ʊ t̪ s̪ ə
возвышению	v ə z̪ v ɨ ʂ ɛ ɲ ɪ j ʊ
возвышения	v ə z̪ v ɨ ʂ ɛ ɲ ɪ j ə
возвышениях	v ə z̪ v ɨ ʂ ɛ ɲ ɪ j ə x
возвышенная	v ɐ z̪ v ɨ ʂ ɨ n̪ː ə j ə
возвышенных	v ɐ z̪ v ɨ ʂ ɨ n̪ː ɨ x
возглавить	v ɐ z̪ ɡ ɫ a vʲ ɪ tʲ
возглас	v o z̪ ɡ ɫ ə s̪
возглавлял	v ə z̪ ɡ ɫ ɐ v ʎ a ɫ
возгласов	v o z̪ ɡ ɫ ə s̪ ə f
воздвигавших	v ə z̪ d̪ vʲ ɪ ɡ a f ʂ ɨ x
возгласил	v ə z̪ ɡ ɫ ɐ sʲ i ɫ
возгласы	v o z̪ ɡ ɫ ə s̪ ɨ
воздвигался	v ə z̪ d̪ vʲ ɪ ɡ a ɫ sʲ ə
воздвигнет	v ɐ z̪ d̪ vʲ i ɟ ɲ ɪ t̪
воздвигнутых	v ɐ z̪ d̪ vʲ i ɡ n̪ ʊ t̪ ɨ x
воздействия	v ɐ zʲ dʲ e j s̪ t̪ vʲ ɪ j ə
возделывал	v ɐ zʲ dʲ e ɫ ɨ v ə ɫ
воздвиглась	v ɐ z̪ d̪ vʲ i ɡ ɫ ə sʲ
воздержались	v ə zʲ dʲ ɪ r ʐ a ʎ ɪ sʲ
воздух	v o z̪ d̪ ʊ x
воздержание	v ə zʲ dʲ ɪ r ʐ a ɲ ɪ j e
воздуха	v o z̪ d̪ ʊ x ə
воздухе	v o z̪ d̪ ʊ ç e
воздухозаборниках	v o z̪ d̪ ʊ x ə z̪ ɐ b o r ɲ ɪ k ə x
воздуходувные	v o z̪ d̪ ʊ x ə d̪ ʊ v n̪ ɨ j e
воздухом	v o z̪ d̪ ʊ x ə m
воздуху	v o z̪ d̪ ʊ x u
воздуху	v o z̪ d̪ ʊ x ʊ
воздухотрясение	v o z̪ d̪ ʊ x ə t̪ rʲ ɪ sʲ e ɲ ɪ j e
воздушную	v ɐ z̪ d̪ u ʂ n̪ ʊ j ʊ
воздушного	v ɐ z̪ d̪ u ʂ n̪ ə v ə
воздушные	v ɐ z̪ d̪ u ʂ n̪ ɨ j e
воздушными	v ɐ z̪ d̪ u ʂ n̪ ɨ mʲ ɪ
воздыхателя	v o z̪ d̪ ɨ x a tʲ ɪ ʎ ə
воздыхателя	v ɐ z̪ d̪ ɨ x a tʲ ɪ ʎ ə
воздыхателя	v ə z̪ d̪ ɨ x a tʲ ɪ ʎ ə
